persona_id,country,age,gender,education_level,social_class,political_left_right,importance_religion,religiosity,response,temperature,model,rating_abortion,rating_death_penalty,rating_divorce,rating_euthanasia,rating_homosexuality,rating_prostitution,rating_suicide
21,United States,82,2,3,3,5,3,2,"1. homosexuality: 10
2. abortion: 9
3. divorce: 9
4. suicide: 3
5. euthanasia: 8
6. paid_sexual_services: 7
7. capital_punishment: 6",0.3,gemini-2.5-flash,9,6,9,8,10,7,3
22,United States,30,1,2,2,5,3,2,"1. homosexuality: 10
2. abortion: 8
3. divorce: 9
4. suicide: 2
5. euthanasia: 6
6. paid_sexual_services: 9
7. capital_punishment: 4",0.3,gemini-2.5-flash,8,4,9,6,10,9,2
23,United States,20,1,2,4,2,1,1,"1. homosexuality: 8
2. abortion: 7
3. divorce: 9
4. suicide: 2
5. euthanasia: 7
6. paid_sexual_services: 10
7. capital_punishment: 2",0.3,gemini-2.5-flash,7,2,9,7,8,10,2
24,United States,51,2,3,3,5,4,3,"1. homosexuality: 10
2. abortion: 10
3. divorce: 9
4. suicide: 6
5. euthanasia: 9
6. paid_sexual_services: 8
7. capital_punishment: 5",0.3,gemini-2.5-flash,10,5,9,9,10,8,6
25,United States,73,2,3,2,7,1,2,"1. homosexuality: 2
2. abortion: 1
3. divorce: 6
4. suicide: 1
5. euthanasia: 1
6. paid_sexual_services: 2
7. capital_punishment: 9",0.3,gemini-2.5-flash,1,9,6,1,2,2,1
26,United States,72,2,2,4,5,2,1,"1. homosexuality: 1
2. abortion: 1
3. divorce: 3
4. suicide: 1
5. euthanasia: 1
6. paid_sexual_services: 1
7. capital_punishment: 7",0.3,gemini-2.5-flash,1,7,3,1,1,1,1
27,United States,74,2,2,2,5,2,2,"1. homosexuality: 10
2. abortion: 9
3. divorce: 8
4. suicide: 4
5. euthanasia: 9
6. paid_sexual_services: 1
7. capital_punishment: 4",0.3,gemini-2.5-flash,9,4,8,9,10,1,4
28,United States,51,2,2,3,10,4,2,"1. homosexuality: 3
2. abortion: 1
3. divorce: 8
4. suicide: 1
5. euthanasia: 2
6. paid_sexual_services: 1
7. capital_punishment: 10",0.3,gemini-2.5-flash,1,10,8,2,3,1,1
29,United States,62,2,1,4,8,1,1,"1. homosexuality: 8
2. abortion: 2
3. divorce: 9
4. suicide: 1
5. euthanasia: 2
6. paid_sexual_services: 3
7. capital_punishment: 9",0.3,gemini-2.5-flash,2,9,9,2,8,3,1
30,United States,42,2,3,4,6,1,1,"1. homosexuality: 2
2. abortion: 1
3. divorce: 3
4. suicide: 1
5. euthanasia: 1
6. paid_sexual_services: 1
7. capital_punishment: 7",0.3,gemini-2.5-flash,1,7,3,1,2,1,1
31,United States,27,1,3,2,5,2,2,"1. homosexuality: 1
2. abortion: 4
3. divorce: 7
4. suicide: 2
5. euthanasia: 4
6. paid_sexual_services: 9
7. capital_punishment: 7",0.3,gemini-2.5-flash,4,7,7,4,1,9,2
32,United States,30,1,2,3,8,3,1,"1. homosexuality: 3
2. abortion: 1
3. divorce: 4
4. suicide: 1
5. euthanasia: 1
6. paid_sexual_services: 2
7. capital_punishment: 9",0.3,gemini-2.5-flash,1,9,4,1,3,2,1
33,United States,32,2,2,2,5,1,1,"1. homosexuality: 1
2. abortion: 1
3. divorce: 2
4. suicide: 1
5. euthanasia: 1
6. paid_sexual_services: 1
7. capital_punishment: 8",0.3,gemini-2.5-flash,1,8,2,1,1,1,1
34,United States,77,2,2,2,1,1,3,"1. homosexuality: 10
2. abortion: 10
3. divorce: 10
4. suicide: 9
5. euthanasia: 10
6. paid_sexual_services: 6
7. capital_punishment: 1",0.3,gemini-2.5-flash,10,1,10,10,10,6,9
35,United States,74,1,2,2,7,4,2,"1. homosexuality: 10
2. abortion: 2
3. divorce: 3
4. suicide: 1
5. euthanasia: 2
6. paid_sexual_services: 1
7. capital_punishment: 9",0.3,gemini-2.5-flash,2,9,3,2,10,1,1
36,United States,56,1,2,4,3,1,1,"1. homosexuality: 3
2. abortion: 2
3. divorce: 4
4. suicide: 1
5. euthanasia: 2
6. paid_sexual_services: 3
7. capital_punishment: 2",0.3,gemini-2.5-flash,2,2,4,2,3,3,1
37,United States,77,1,3,5,9,3,1,"1. homosexuality: 9
2. abortion: 1
3. divorce: 2
4. suicide: 1
5. euthanasia: 2
6. paid_sexual_services: 1
7. capital_punishment: 9",0.3,gemini-2.5-flash,1,9,2,2,9,1,1
38,United States,34,1,2,2,9,4,2,"1. homosexuality: 3
2. abortion: 2
3. divorce: 4
4. suicide: 1
5. euthanasia: 2
6. paid_sexual_services: 2
7. capital_punishment: 10",0.3,gemini-2.5-flash,2,10,4,2,3,2,1
39,United States,42,2,2,3,10,2,1,"1. homosexuality: 9
2. abortion: 2
3. divorce: 7
4. suicide: 1
5. euthanasia: 2
6. paid_sexual_services: 8
7. capital_punishment: 9",0.3,gemini-2.5-flash,2,9,7,2,9,8,1
40,United States,22,2,2,4,1,1,2,"1. homosexuality: 9
2. abortion: 8
3. divorce: 9
4. suicide: 2
5. euthanasia: 7
6. paid_sexual_services: 6
7. capital_punishment: 1",0.3,gemini-2.5-flash,8,1,9,7,9,6,2
41,United States,37,1,3,3,5,3,3,"1. homosexuality: 10
2. abortion: 10
3. divorce: 10
4. suicide: 6
5. euthanasia: 9
6. paid_sexual_services: 8
7. capital_punishment: 3",0.3,gemini-2.5-flash,10,3,10,9,10,8,6
42,United States,41,1,2,2,8,4,1,"1. homosexuality: 3
2. abortion: 1
3. divorce: 3
4. suicide: 1
5. euthanasia: 1
6. paid_sexual_services: 1
7. capital_punishment: 10",0.3,gemini-2.5-flash,1,10,3,1,3,1,1
43,United States,83,1,3,2,3,4,1,"1. homosexuality: 10
2. abortion: 10
3. divorce: 10
4. suicide: 2
5. euthanasia: 8
6. paid_sexual_services: 10
7. capital_punishment: 1",0.3,gemini-2.5-flash,10,1,10,8,10,10,2
44,United States,48,1,3,3,7,1,2,"1. homosexuality: 9
2. abortion: 2
3. divorce: 8
4. suicide: 1
5. euthanasia: 2
6. paid_sexual_services: 6
7. capital_punishment: 9",0.3,gemini-2.5-flash,2,9,8,2,9,6,1
45,United States,28,2,2,3,8,4,1,"1. homosexuality: 9
2. abortion: 2
3. divorce: 4
4. suicide: 1
5. euthanasia: 2
6. paid_sexual_services: 8
7. capital_punishment: 9",0.3,gemini-2.5-flash,2,9,4,2,9,8,1
46,United States,87,2,2,3,6,2,1,"1. homosexuality: 3
2. abortion: 4
3. divorce: 7
4. suicide: 1
5. euthanasia: 2
6. paid_sexual_services: 1
7. capital_punishment: 8",0.3,gemini-2.5-flash,4,8,7,2,3,1,1
47,United States,33,1,2,2,8,3,3,"1. homosexuality: 10
2. abortion: 3
3. divorce: 7
4. suicide: 2
5. euthanasia: 6
6. paid_sexual_services: 7
7. capital_punishment: 9",0.3,gemini-2.5-flash,3,9,7,6,10,7,2
48,United States,22,2,2,4,10,3,2,"1. homosexuality: 2
2. abortion: 2
3. divorce: 7
4. suicide: 1
5. euthanasia: 4
6. paid_sexual_services: 8
7. capital_punishment: 9",0.3,gemini-2.5-flash,2,9,7,4,2,8,1
49,United States,20,2,1,3,5,4,2,"1. homosexuality: 10
2. abortion: 9
3. divorce: 8
4. suicide: 4
5. euthanasia: 9
6. paid_sexual_services: 10
7. capital_punishment: 4",0.3,gemini-2.5-flash,9,4,8,9,10,10,4
50,United States,28,2,1,5,2,1,1,"1. homosexuality: 9
2. abortion: 6
3. divorce: 4
4. suicide: 1
5. euthanasia: 3
6. paid_sexual_services: 7
7. capital_punishment: 2",0.3,gemini-2.5-flash,6,2,4,3,9,7,1
51,United States,27,1,3,3,4,3,1,"1. homosexuality: 8
2. abortion: 5
3. divorce: 9
4. suicide: 1
5. euthanasia: 3
6. paid_sexual_services: 1
7. capital_punishment: 2",0.3,gemini-2.5-flash,5,2,9,3,8,1,1
52,United States,54,2,2,2,7,2,1,"1. homosexuality: 9
2. abortion: 3
3. divorce: 6
4. suicide: 1
5. euthanasia: 3
6. paid_sexual_services: 1
7. capital_punishment: 9",0.3,gemini-2.5-flash,3,9,6,3,9,1,1
53,United States,32,2,2,2,8,3,3,"1. homosexuality: 10
2. abortion: 8
3. divorce: 10
4. suicide: 3
5. euthanasia: 7
6. paid_sexual_services: 3
7. capital_punishment: 9",0.3,gemini-2.5-flash,8,9,10,7,10,3,3
54,United States,39,2,3,2,5,1,1,"1. homosexuality: 9
2. abortion: 6
3. divorce: 7
4. suicide: 2
5. euthanasia: 3
6. paid_sexual_services: 1
7. capital_punishment: 4",0.3,gemini-2.5-flash,6,4,7,3,9,1,2
55,United States,62,1,3,3,4,3,1,"1. homosexuality: 9
2. abortion: 6
3. divorce: 7
4. suicide: 1
5. euthanasia: 4
6. paid_sexual_services: 9
7. capital_punishment: 2",0.3,gemini-2.5-flash,6,2,7,4,9,9,1
56,United States,53,1,3,4,5,1,2,"1. homosexuality: 1
2. abortion: 7
3. divorce: 9
4. suicide: 1
5. euthanasia: 8
6. paid_sexual_services: 3
7. capital_punishment: 5",0.3,gemini-2.5-flash,7,5,9,8,1,3,1
57,United States,37,1,3,3,6,4,1,"1. homosexuality: 10
2. abortion: 2
3. divorce: 2
4. suicide: 1
5. euthanasia: 1
6. paid_sexual_services: 1
7. capital_punishment: 6",0.3,gemini-2.5-flash,2,6,2,1,10,1,1
58,United States,44,1,3,2,4,3,1,"1. homosexuality: 1
2. abortion: 7
3. divorce: 9
4. suicide: 1
5. euthanasia: 6
6. paid_sexual_services: 8
7. capital_punishment: 2",0.3,gemini-2.5-flash,7,2,9,6,1,8,1
59,United States,75,2,2,4,4,2,2,"1. homosexuality: 10
2. abortion: 9
3. divorce: 9
4. suicide: 5
5. euthanasia: 9
6. paid_sexual_services: 9
7. capital_punishment: 2",0.3,gemini-2.5-flash,9,2,9,9,10,9,5
60,United States,40,2,3,5,1,1,1,"1. homosexuality: 2
2. abortion: 2
3. divorce: 6
4. suicide: 1
5. euthanasia: 2
6. paid_sexual_services: 1
7. capital_punishment: 2",0.3,gemini-2.5-flash,2,2,6,2,2,1,1
61,United States,58,1,2,2,5,1,1,"1. homosexuality: 2
2. abortion: 6
3. divorce: 7
4. suicide: 1
5. euthanasia: 4
6. paid_sexual_services: 8
7. capital_punishment: 7",0.3,gemini-2.5-flash,6,7,7,4,2,8,1
62,United States,22,1,3,2,3,1,1,"1. homosexuality: 9
2. abortion: 6
3. divorce: 7
4. suicide: 1
5. euthanasia: 4
6. paid_sexual_services: 3
7. capital_punishment: 2",0.3,gemini-2.5-flash,6,2,7,4,9,3,1
63,United States,70,2,3,2,7,2,1,"1. homosexuality: 9
2. abortion: 3
3. divorce: 9
4. suicide: 1
5. euthanasia: 2
6. paid_sexual_services: 1
7. capital_punishment: 8",0.3,gemini-2.5-flash,3,8,9,2,9,1,1
64,United States,24,1,2,2,5,1,2,"1. homosexuality: 10
2. abortion: 7
3. divorce: 10
4. suicide: 2
5. euthanasia: 8
6. paid_sexual_services: 2
7. capital_punishment: 6",0.3,gemini-2.5-flash,7,6,10,8,10,2,2
65,United States,43,2,3,3,3,2,1,"1. homosexuality: 9
2. abortion: 9
3. divorce: 7
4. suicide: 2
5. euthanasia: 8
6. paid_sexual_services: 9
7. capital_punishment: 2",0.3,gemini-2.5-flash,9,2,7,8,9,9,2
66,United States,74,1,2,3,7,3,1,"1. homosexuality: 7
2. abortion: 2
3. divorce: 5
4. suicide: 1
5. euthanasia: 2
6. paid_sexual_services: 6
7. capital_punishment: 9",0.3,gemini-2.5-flash,2,9,5,2,7,6,1
67,United States,90,2,2,5,10,2,2,"1. homosexuality: 2
2. abortion: 1
3. divorce: 6
4. suicide: 1
5. euthanasia: 1
6. paid_sexual_services: 3
7. capital_punishment: 10",0.3,gemini-2.5-flash,1,10,6,1,2,3,1
68,United States,67,2,2,5,10,3,2,"1. homosexuality: 10
2. abortion: 2
3. divorce: 9
4. suicide: 3
5. euthanasia: 7
6. paid_sexual_services: 7
7. capital_punishment: 10",0.3,gemini-2.5-flash,2,10,9,7,10,7,3
69,United States,58,1,2,2,5,2,1,"1. homosexuality: 3
2. abortion: 1
3. divorce: 4
4. suicide: 1
5. euthanasia: 2
6. paid_sexual_services: 2
7. capital_punishment: 8",0.3,gemini-2.5-flash,1,8,4,2,3,2,1
70,United States,78,1,3,1,6,3,2,"1. homosexuality: 9
2. abortion: 8
3. divorce: 9
4. suicide: 3
5. euthanasia: 8
6. paid_sexual_services: 7
7. capital_punishment: 6",0.3,gemini-2.5-flash,8,6,9,8,9,7,3
71,United States,46,1,2,3,3,1,1,"1. homosexuality: 9
2. abortion: 8
3. divorce: 7
4. suicide: 1
5. euthanasia: 6
6. paid_sexual_services: 3
7. capital_punishment: 2",0.3,gemini-2.5-flash,8,2,7,6,9,3,1
72,United States,75,2,3,3,5,2,1,"1. homosexuality: 1
2. abortion: 1
3. divorce: 6
4. suicide: 1
5. euthanasia: 2
6. paid_sexual_services: 1
7. capital_punishment: 8",0.3,gemini-2.5-flash,1,8,6,2,1,1,1
73,United States,80,2,2,5,8,1,2,"1. homosexuality: 9
2. abortion: 7
3. divorce: 8
4. suicide: 2
5. euthanasia: 6
6. paid_sexual_services: 3
7. capital_punishment: 8",0.3,gemini-2.5-flash,7,8,8,6,9,3,2
74,United States,46,1,2,3,3,2,1,"1. homosexuality: 10
2. abortion: 9
3. divorce: 9
4. suicide: 3
5. euthanasia: 9
6. paid_sexual_services: 6
7. capital_punishment: 1",0.3,gemini-2.5-flash,9,1,9,9,10,6,3
75,United States,82,1,2,2,4,1,1,"1. homosexuality: 3
2. abortion: 3
3. divorce: 9
4. suicide: 1
5. euthanasia: 5
6. paid_sexual_services: 8
7. capital_punishment: 2",0.3,gemini-2.5-flash,3,2,9,5,3,8,1
76,United States,60,2,2,2,4,4,1,"1. homosexuality: 3
2. abortion: 4
3. divorce: 5
4. suicide: 1
5. euthanasia: 3
6. paid_sexual_services: 1
7. capital_punishment: 2",0.3,gemini-2.5-flash,4,2,5,3,3,1,1
77,United States,71,1,2,3,2,1,1,"1. homosexuality: 9
2. abortion: 3
3. divorce: 4
4. suicide: 1
5. euthanasia: 2
6. paid_sexual_services: 1
7. capital_punishment: 1",0.3,gemini-2.5-flash,3,1,4,2,9,1,1
78,United States,23,2,2,3,5,2,1,"1. homosexuality: 10
2. abortion: 2
3. divorce: 7
4. suicide: 1
5. euthanasia: 2
6. paid_sexual_services: 2
7. capital_punishment: 7",0.3,gemini-2.5-flash,2,7,7,2,10,2,1
79,United States,82,1,3,2,5,1,1,"1. homosexuality: 10
2. abortion: 8
3. divorce: 8
4. suicide: 5
5. euthanasia: 9
6. paid_sexual_services: 10
7. capital_punishment: 4",0.3,gemini-2.5-flash,8,4,8,9,10,10,5
80,United States,47,2,2,2,10,4,1,"1. homosexuality: 9
2. abortion: 2
3. divorce: 3
4. suicide: 1
5. euthanasia: 2
6. paid_sexual_services: 2
7. capital_punishment: 9",0.3,gemini-2.5-flash,2,9,3,2,9,2,1
81,United States,87,2,2,3,3,2,2,"1. homosexuality: 8
2. abortion: 7
3. divorce: 10
4. suicide: 2
5. euthanasia: 6
6. paid_sexual_services: 4
7. capital_punishment: 2",0.3,gemini-2.5-flash,7,2,10,6,8,4,2
82,United States,37,1,2,5,7,1,2,"1. homosexuality: 4
2. abortion: 2
3. divorce: 5
4. suicide: 1
5. euthanasia: 2
6. paid_sexual_services: 1
7. capital_punishment: 9",0.3,gemini-2.5-flash,2,9,5,2,4,1,1
83,United States,27,2,2,4,1,2,2,"1. homosexuality: 6
2. abortion: 9
3. divorce: 8
4. suicide: 3
5. euthanasia: 8
6. paid_sexual_services: 6
7. capital_punishment: 1",0.3,gemini-2.5-flash,9,1,8,8,6,6,3
84,United States,32,1,2,3,4,2,1,"1. homosexuality: 10
2. abortion: 9
3. divorce: 8
4. suicide: 7
5. euthanasia: 9
6. paid_sexual_services: 9
7. capital_punishment: 2",0.3,gemini-2.5-flash,9,2,8,9,10,9,7
85,United States,43,2,2,2,3,4,1,"1. homosexuality: 8
2. abortion: 4
3. divorce: 7
4. suicide: 1
5. euthanasia: 5
6. paid_sexual_services: 9
7. capital_punishment: 2",0.3,gemini-2.5-flash,4,2,7,5,8,9,1
86,United States,80,1,2,4,1,1,1,"1. homosexuality: 9
2. abortion: 8
3. divorce: 9
4. suicide: 1
5. euthanasia: 7
6. paid_sexual_services: 1
7. capital_punishment: 1",0.3,gemini-2.5-flash,8,1,9,7,9,1,1
87,United States,24,2,2,2,9,1,1,"1. homosexuality: 8
2. abortion: 1
3. divorce: 3
4. suicide: 1
5. euthanasia: 1
6. paid_sexual_services: 1
7. capital_punishment: 9",0.3,gemini-2.5-flash,1,9,3,1,8,1,1
88,United States,89,2,2,4,1,3,1,"1. homosexuality: 1
2. abortion: 3
3. divorce: 4
4. suicide: 1
5. euthanasia: 3
6. paid_sexual_services: 7
7. capital_punishment: 2",0.3,gemini-2.5-flash,3,2,4,3,1,7,1
89,United States,42,2,2,4,6,2,1,"1. homosexuality: 9
2. abortion: 8
3. divorce: 9
4. suicide: 2
5. euthanasia: 7
6. paid_sexual_services: 1
7. capital_punishment: 8",0.3,gemini-2.5-flash,8,8,9,7,9,1,2
90,United States,44,1,3,5,1,3,1,"1. homosexuality: 10
2. abortion: 10
3. divorce: 9
4. suicide: 5
5. euthanasia: 9
6. paid_sexual_services: 10
7. capital_punishment: 1",0.3,gemini-2.5-flash,10,1,9,9,10,10,5
91,United States,78,1,3,3,5,3,2,"1. homosexuality: 9
2. abortion: 8
3. divorce: 10
4. suicide: 3
5. euthanasia: 9
6. paid_sexual_services: 1
7. capital_punishment: 4",0.3,gemini-2.5-flash,8,4,10,9,9,1,3
92,United States,32,1,3,4,10,2,1,"1. homosexuality: 3
2. abortion: 1
3. divorce: 6
4. suicide: 1
5. euthanasia: 1
6. paid_sexual_services: 2
7. capital_punishment: 10",0.3,gemini-2.5-flash,1,10,6,1,3,2,1
93,United States,31,2,3,3,5,2,1,"1. homosexuality: 10
2. abortion: 9
3. divorce: 9
4. suicide: 3
5. euthanasia: 8
6. paid_sexual_services: 9
7. capital_punishment: 4",0.3,gemini-2.5-flash,9,4,9,8,10,9,3
94,United States,36,1,3,2,2,1,1,"1. homosexuality: 10
2. abortion: 9
3. divorce: 8
4. suicide: 2
5. euthanasia: 7
6. paid_sexual_services: 1
7. capital_punishment: 1",0.3,gemini-2.5-flash,9,1,8,7,10,1,2
95,United States,58,2,3,4,5,4,1,"1. homosexuality: 1
2. abortion: 1
3. divorce: 3
4. suicide: 1
5. euthanasia: 1
6. paid_sexual_services: 4
7. capital_punishment: 8",0.3,gemini-2.5-flash,1,8,3,1,1,4,1
96,United States,18,2,2,3,6,3,2,"1. homosexuality: 10
2. abortion: 8
3. divorce: 9
4. suicide: 3
5. euthanasia: 7
6. paid_sexual_services: 2
7. capital_punishment: 4",0.3,gemini-2.5-flash,8,4,9,7,10,2,3
97,United States,78,2,3,3,9,3,1,"1. homosexuality: 8
2. abortion: 2
3. divorce: 6
4. suicide: 1
5. euthanasia: 2
6. paid_sexual_services: 1
7. capital_punishment: 9",0.3,gemini-2.5-flash,2,9,6,2,8,1,1
98,United States,28,2,2,3,1,4,2,"1. homosexuality: 10
2. abortion: 10
3. divorce: 10
4. suicide: 7
5. euthanasia: 10
6. paid_sexual_services: 10
7. capital_punishment: 1",0.3,gemini-2.5-flash,10,1,10,10,10,10,7
99,United States,77,2,3,3,2,1,2,"1. homosexuality: 8
2. abortion: 9
3. divorce: 9
4. suicide: 2
5. euthanasia: 8
6. paid_sexual_services: 2
7. capital_punishment: 1",0.3,gemini-2.5-flash,9,1,9,8,8,2,2
